segment,Boylston WB,Park WB,Govt Ctr WB,Haymarket WB,N Sta WB,Sci Park WB
KenmoreEB,,6,,,,
Kenmore_HynesEB,,6,,,,
HynesEB,6,5,,,,
Hynes_CopleyEB,6,5,,,,
SymphonyEB,,6,,,,
Symphony_PrudentialEB,,6,,,,
PrudentialEB,6,5,,,,
Prudential_CopleyEB,6,5,,,,
CopleyEB,5,4,,,,
Copley_ArlingtonEB,5,4,,,,
ArlingtonEB,4,3,,,,
Arlington_BoylstonEB,4,3,,,,
BoylstonEB,3,2,,,,
Boylston_ParkEB,3,2,,,,
Park_Fence_EB,2,1,,,,
Park_Wall_EB,,,,,,
Park_Loop,2,Approaching,,,,
Park_Govt_CtrEB,,,,,,
Govt_CtrEB,,,,,,
Govt_Ctr_Haymarket_or_LoopEB,,,,,,
HaymarketEB,,,,,,
Haymarket_N_StaEB,,,,,,
N_StaEB,,,,,,
N_Sta_Before_TurnbackEB,,,,,,
N_Sta_Turnback,5,4,3,2,1,
N_Sta_Sci_ParkEB,,,6,5,4,3
Sci_ParkEB,,6,5,4,3,2
Sci_Park_LechmereEB,,6,5,4,3,2
Lechmere,6,5,4,3,2,1
Lechmere_Rev,6,5,4,3,2,1
Lechmere_Sci_ParkWB,6,5,4,3,2,Approaching
Sci_ParkWB,5,4,3,2,1,Boarding
Sci_Park_N_StaWB,5,4,3,2,Approaching,
N_StaWB,4,3,2,1,Boarding,
N_Sta_HaymarketWB,4,3,2,Approaching,,
HaymarketWB,3,2,1,Boarding,,
Haymarket_Govt_CtrWB,3,2,Approaching,,,
Govt_CtrWB,2,1,Boarding,,,
Govt_Ctr_ParkWB,2,Approaching,,,,
Park_Wall_WB,1,Boarding,,,,
Park_Fence_WB,1,Boarding,,,,
Park_BoylstonWB,Approaching,,,,,
BoylstonWB,Boarding,,,,,